name,latitude,longitude,country_code,country_name,osm_id,osm_type,data_source
Dog Park 105742845,48.1980945,16.3616362,AT,Austria,105742845,way,OpenStreetMap
Dog Park 1058663043,48.0630634,16.068296,AT,Austria,1058663043,way,OpenStreetMap
Dog Park 1067293486,48.2156068,16.4172971,AT,Austria,1067293486,way,OpenStreetMap
Dog Park 1071289485,47.7464596,16.8221241,AT,Austria,1071289485,way,OpenStreetMap
Dog Park 1086662900,47.7661207,16.3452615,AT,Austria,1086662900,way,OpenStreetMap
Dog Park 109112556,47.0646205,15.4275633,AT,Austria,109112556,way,OpenStreetMap
Dog Park 109143965,48.1206033,16.2500523,AT,Austria,109143965,way,OpenStreetMap
Dog Park 1095178709,47.9764604,15.0259992,AT,Austria,1095178709,way,OpenStreetMap
Dog Park 109713626,48.1611482,16.4438497,AT,Austria,109713626,way,OpenStreetMap
Dog Park 110311476,48.1720703,16.3592612,AT,Austria,110311476,way,OpenStreetMap
Dog Park 11036027554,48.2005353,16.4395771,AT,Austria,11036027554,node,OpenStreetMap
Dog Park 110374282,47.2548433,11.3326944,AT,Austria,110374282,way,OpenStreetMap
Dog Park 1106015453,48.1862382,16.3505542,AT,Austria,1106015453,way,OpenStreetMap
Dog Park 1107364989,48.2269494,16.3907273,AT,Austria,1107364989,way,OpenStreetMap
Dog Park 1110569299,48.2880373,15.701796,AT,Austria,1110569299,way,OpenStreetMap
Dog Park 1112305576,48.2196815,16.4006105,AT,Austria,1112305576,way,OpenStreetMap
Dog Park 1119205866,48.2100825,16.3276341,AT,Austria,1119205866,way,OpenStreetMap
Dog Park 112047119,48.1566391,16.4250612,AT,Austria,112047119,way,OpenStreetMap
Dog Park 1125803003,48.1768347,15.5533338,AT,Austria,1125803003,way,OpenStreetMap
Dog Park 1127835805,48.1722031,16.4086347,AT,Austria,1127835805,way,OpenStreetMap
Dog Park 113251402,48.1383593,16.2911276,AT,Austria,113251402,way,OpenStreetMap
Dog Park 1137606186,48.0082101,15.162296,AT,Austria,1137606186,way,OpenStreetMap
Dog Park 1148458940,48.2523044,16.3595217,AT,Austria,1148458940,way,OpenStreetMap
Dog Park 1149354276,48.222707,16.310183,AT,Austria,1149354276,way,OpenStreetMap
