Table 130-06801 : Domestic households by District Council district and household size,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,
 , ,Domestic households (1),Domestic households (1),Domestic households (1),Domestic households (1),Domestic households (1),Domestic households (1),Domestic households (1),Domestic households (1),Domestic households (1),Domestic households (1),Domestic households (1),Domestic households (1),Domestic households (1),Domestic households (1),Domestic households (1),Domestic households (1)
,,No. ('000),No. ('000),No. ('000),No. ('000),No. ('000),No. ('000),No. ('000),No. ('000),Percentage share in respective district (%),Percentage share in respective district (%),Percentage share in respective district (%),Percentage share in respective district (%),Percentage share in respective district (%),Percentage share in respective district (%),Percentage share in respective district (%),Percentage share in respective district (%)
Household size (2),Household size (2),1,2,3,4,5 and over,5 and over,5 and over,Overall,1,2,3,4,5 and over,5 and over,5 and over,Overall
Household size (2),Household size (2),,,,,5,6 and over,Sub-total,,,,,,5,6 and over,Sub-total,
Year,District Council district (DCD),,,,,,,,,,,,,,,,
2006,Yau Tsim Mong,24.0,28.2,20.1,16.5,7.5,4.1,11.7,100.5,23.9,28.1,20.0,16.4,7.5,4.1,11.6,100.0
2006,Sham Shui Po,27.2,31.7,28.3,25.5,9.5,4.2,13.7,126.4,21.5,25.1,22.4,20.2,7.5,3.3,10.8,100.0
2006,Kowloon City,22.7,29.9,24.9,22.9,12.4,5.5,17.9,118.3,19.2,25.3,21.0,19.3,10.5,4.7,15.1,100.0
2006,Wong Tai Sin,21.0,30.6,33.5,31.0,14.4,5.8,20.2,136.4,15.4,22.5,24.6,22.7,10.6,4.3,14.8,100.0
2006,Kwun Tong,29.8,48.4,47.8,45.5,17.3,5.2,22.5,194.1,15.4,24.9,24.6,23.5,8.9,2.7,11.6,100.0
2006,Kwai Tsing,24.1,37.5,40.3,38.5,16.7,6.8,23.5,163.9,14.7,22.9,24.6,23.5,10.2,4.2,14.3,100.0
2006,Tsuen Wan,13.2,27.3,21.5,20.8,8.9,3.0,11.8,94.7,14.0,28.8,22.7,22.0,9.4,3.1,12.5,100.0
2006,Tuen Mun,24.7,38.4,40.0,40.9,13.5,4.7,18.2,162.2,15.2,23.7,24.7,25.2,8.3,2.9,11.2,100.0
2006,Yuen Long,25.3,38.2,38.9,43.5,16.5,7.0,23.4,169.3,14.9,22.6,22.9,25.7,9.7,4.1,13.8,100.0
2006,North,11.9,19.8,20.8,22.7,7.7,4.4,12.1,87.4,13.6,22.7,23.8,26.0,8.8,5.1,13.9,100.0
2006,Tai Po,12.4,19.6,20.4,23.5,10.3,3.8,14.1,90.1,13.7,21.8,22.7,26.1,11.5,4.3,15.7,100.0
