country_code,country_name,country_name_full,region,continent,n_parks,parks_per_100k,park_density_score,estimated_population,n_nodes,n_ways,avg_lat,avg_lon,population,global_rank,global_percentile,tier,dog_park_access_score,development_level,analysis_year,last_updated,cluster,peer_1,peer_1_parks,peer_2,peer_2_parks,peer_3,peer_3_parks,parks_per_100k_display,global_rank_display,global_percentile_display,popup_text
AD,Andorra,Andorra,Europe & Central Asia,Europe,2,2.50925286995797,28.37110398077757,79705,0,2,42.505174,1.5251206,79705,22,78.125,Low Tier,28.37110398077757,Low Income,2023,2026-04-19,Developing (Moderate Parks),Marshall Islands,2.495,Liechtenstein,2.532,Monaco,2.569,2.51,22,78.1,<b>Andorra</b><br/>Region: Europe & Central Asia<br/>Dog Parks: 2<br/>Parks per 100k: 2.51<br/>Global Rank: 22 / 96<br/>Percentile: 78.1%<br/>Tier: Low Tier
MH,Marshall Islands,Marshall Islands,East Asia & Pacific,Oceania,1,2.4951967462634426,28.212139693180298,40077,0,1,8.7363505,167.7360049,40077,23,77.08333333333334,Low Tier,28.212139693180298,Low Income,2023,2026-04-19,Developing (Moderate Parks),Liechtenstein,2.532,Monaco,2.569,Andorra,2.509,2.5,23,77.1,<b>Marshall Islands</b><br/>Region: East Asia & Pacific<br/>Dog Parks: 1<br/>Parks per 100k: 2.50<br/>Global Rank: 23 / 96<br/>Percentile: 77.1%<br/>Tier: Low Tier
DE,Germany,Germany,Europe & Central Asia,Europe,2018,2.426127746349859,27.431020758477597,83177813,244,1774,51.27857283339941,9.458132547472745,83177813,24,76.04166666666666,Low Tier,27.431020758477597,High Income,2023,2026-04-19,Leaders (High Parks),Canada,2.52,Australia,3.482,Italy,3.923,2.43,24,76,<b>Germany</b><br/>Region: Europe & Central Asia<br/>Dog Parks: 2018<br/>Parks per 100k: 2.43<br/>Global Rank: 24 / 96<br/>Percentile: 76.0%<br/>Tier: Low Tier
LT,Lithuania,Lithuania,Europe & Central Asia,Europe,66,2.3308055864465773,26.35299814210309,2831639,4,62,55.1071035030303,24.055212195454544,2831639,25,75,Low Tier,26.35299814210309,High Income,2023,2026-04-19,Transitioning (Low-Moderate),Latvia,1.649,New Zealand,1.732,Norway,1.741,2.33,25,75,<b>Lithuania</b><br/>Region: Europe & Central Asia<br/>Dog Parks: 66<br/>Parks per 100k: 2.33<br/>Global Rank: 25 / 96<br/>Percentile: 75.0%<br/>Tier: Low Tier
NO,Norway,Norway,Europe & Central Asia,Europe,95,1.7408427548048635,19.680958020735492,5457127,8,87,61.03633610210527,10.468629344210527,5457127,26,73.95833333333334,Low Tier,19.680958020735492,High Income,2023,2026-04-19,Transitioning (Low-Moderate),New Zealand,1.732,Bulgaria,1.392,Switzerland,1.458,1.74,26,74,<b>Norway</b><br/>Region: Europe & Central Asia<br/>Dog Parks: 95<br/>Parks per 100k: 1.74<br/>Global Rank: 26 / 96<br/>Percentile: 74.0%<br/>Tier: Low Tier
NZ,New Zealand,New Zealand,East Asia & Pacific,Oceania,88,1.7317039573371118,19.57760502950346,5081700,7,81,-40.909839017045456,173.9285365715909,5081700,27,72.91666666666666,Low Tier,19.57760502950346,High Income,2023,2026-04-19,Transitioning (Low-Moderate),Norway,1.741,Bulgaria,1.392,Switzerland,1.458,1.73,27,72.9,<b>New Zealand</b><br/>Region: East Asia & Pacific<br/>Dog Parks: 88<br/>Parks per 100k: 1.73<br/>Global Rank: 27 / 96<br/>Percentile: 72.9%<br/>Tier: Low Tier
FR,France,France,Europe & Central Asia,Europe,1152,1.6895346105051479,19.100701131724357,68184457,353,799,46.19328620147569,3.937877500434028,68184457,28,71.875,Low Tier,19.100701131724357,High Income,2023,2026-04-19,Transitioning (Low-Moderate),Ukraine,0.48,Portugal,1.572,Romania,0.588,1.69,28,71.9,<b>France</b><br/>Region: Europe & Central Asia<br/>Dog Parks: 1152<br/>Parks per 100k: 1.69<br/>Global Rank: 28 / 96<br/>Percentile: 71.9%<br/>Tier: Low Tier
LV,Latvia,Latvia,Europe & Central Asia,Europe,31,1.6494775146949823,18.647685219438547,1879383,2,29,56.697363725806454,24.38011191935484,1879383,29,70.83333333333334,Low Tier,18.647685219438547,High Income,2023,2026-04-19,Transitioning (Low-Moderate),Cyprus,1.352,Lithuania,2.331,New Zealand,1.732,1.65,29,70.8,<b>Latvia</b><br/>Region: Europe & Central Asia<br/>Dog Parks: 31<br/>Parks per 100k: 1.65<br/>Global Rank: 29 / 96<br/>Percentile: 70.8%<br/>Tier: Low Tier
PT,Portugal,Portugal,Europe & Central Asia,Europe,164,1.5717345394031934,17.768470085058155,10434332,28,136,39.05831912804878,-9.36061214207317,10434332,30,69.79166666666666,Low Tier,17.768470085058155,High Income,2023,2026-04-19,Transitioning (Low-Moderate),Belarus,1.441,Switzerland,1.458,Bulgaria,1.392,1.57,30,69.8,<b>Portugal</b><br/>Region: Europe & Central Asia<br/>Dog Parks: 164<br/>Parks per 100k: 1.57<br/>Global Rank: 30 / 96<br/>Percentile: 69.8%<br/>Tier: Low Tier
CH,Switzerland,Switzerland,Europe & Central Asia,Europe,128,1.458342447973633,16.486090004674942,8777088,11,117,46.94730142890625,7.79538308515625,8777088,31,68.75,Low Tier,16.486090004674942,High Income,2023,2026-04-19,Transitioning (Low-Moderate),Belarus,1.441,Portugal,1.572,Bulgaria,1.392,1.46,31,68.8,<b>Switzerland</b><br/>Region: Europe & Central Asia<br/>Dog Parks: 128<br/>Parks per 100k: 1.46<br/>Global Rank: 31 / 96<br/>Percentile: 68.8%<br/>Tier: Low Tier
