name,latitude,longitude,city,country,data_source,osm_id
Fred Anderson Park,41.859482,-87.6251712,Chicago,USA,OpenStreetMap,313782003
Ohio Place Dog Park,41.8923248,-87.6382452,Chicago,USA,OpenStreetMap,346983725
Dog Park 346985162,41.8894028,-87.6253297,Chicago,USA,OpenStreetMap,346985162
Dog Park 347372407,41.9074097,-87.6752209,Chicago,USA,OpenStreetMap,347372407
Grant Bark Park,41.8703794,-87.6217687,Chicago,USA,OpenStreetMap,349234970
Dog Park 349236432,41.8621333,-87.6264805,Chicago,USA,OpenStreetMap,349236432
Dog Park 349238237,41.9360604,-87.6803204,Chicago,USA,OpenStreetMap,349238237
Dog Park 349239805,41.8886009,-87.6432248,Chicago,USA,OpenStreetMap,349239805
Park No. 569,41.8806153,-87.6616835,Chicago,USA,OpenStreetMap,349239969
Dog Park 349242647,41.9140276,-87.668131,Chicago,USA,OpenStreetMap,349242647
Larrabee Dog Park,41.8942958,-87.6432427,Chicago,USA,OpenStreetMap,349242662
Dog Park 352376730,41.8869453,-87.6186173,Chicago,USA,OpenStreetMap,352376730
Dog Park 357516252,41.89629,-87.6418294,Chicago,USA,OpenStreetMap,357516252
Dog Park 362102149,41.8922137,-87.6178432,Chicago,USA,OpenStreetMap,362102149
Dog Park 405326802,41.8115182,-87.5957649,Chicago,USA,OpenStreetMap,405326802
Dog Park 438978486,41.8604401,-87.621197,Chicago,USA,OpenStreetMap,438978486
Dog Park 568289279,41.8761085,-87.6506971,Chicago,USA,OpenStreetMap,568289279
Park No. 591,41.82455,-87.6040002,Chicago,USA,OpenStreetMap,736330511
Dog Park 736330515,41.8225448,-87.622057,Chicago,USA,OpenStreetMap,736330515
Park No. 592,41.818695,-87.6133279,Chicago,USA,OpenStreetMap,736330517
D'Angelo Dog Park,41.8759438,-87.6356536,Chicago,USA,OpenStreetMap,747160822
Dog Park 787821282,41.8952803,-87.6338767,Chicago,USA,OpenStreetMap,787821282
Dog Park 1021573730,41.8607443,-87.6464275,Chicago,USA,OpenStreetMap,1021573730
Dog Park 1022745084,41.8912689,-87.6166687,Chicago,USA,OpenStreetMap,1022745084
Dog Park 1076970998,41.8885701,-87.646876,Chicago,USA,OpenStreetMap,1076970998
Dog Park 1118495190,41.8696003,-87.6318169,Chicago,USA,OpenStreetMap,1118495190
Dog Park 1155642951,41.8851579,-87.6625967,Chicago,USA,OpenStreetMap,1155642951
Dog Park 1158236613,41.949557,-87.645341,Chicago,USA,OpenStreetMap,1158236613
Dog Park 1200048584,41.8748594,-87.6742612,Chicago,USA,OpenStreetMap,1200048584
Dog Park 1209461310,41.8706081,-87.6322699,Chicago,USA,OpenStreetMap,1209461310
Prarie District Dog Park,41.8545972,-87.620083,Chicago,USA,OpenStreetMap,1359414391
Dog Park 1476260578,41.8881961,-87.6547147,Chicago,USA,OpenStreetMap,1476260578
I-5 Colonnade Off-Leash Area,47.6348256,-122.3237465,Seattle,USA,OpenStreetMap,3468525549
Jose Rizal Dog Park,47.5931845,-122.3184367,Seattle,USA,OpenStreetMap,26398063
Regrade Park,47.6143293,-122.3447531,Seattle,USA,OpenStreetMap,37114650
Genesee Dog Park,47.5634041,-122.2766742,Seattle,USA,OpenStreetMap,160980417
Woodland Park Off-Leash Dog Park,47.6700971,-122.3444423,Seattle,USA,OpenStreetMap,220404009
Magnolia Manor Dog Park,47.6516008,-122.3924115,Seattle,USA,OpenStreetMap,295044076
South Lake Union Dog Park,47.6194078,-122.3410929,Seattle,USA,OpenStreetMap,362486894
Day 1 Dog Park,47.615732,-122.3398787,Seattle,USA,OpenStreetMap,398955977
Dog Park 434710974,47.6143687,-122.3290269,Seattle,USA,OpenStreetMap,434710974
Youngstown Flats Dog Run Feature,47.5674446,-122.3649711,Seattle,USA,OpenStreetMap,473252197
Dog Park 474110657,47.6339595,-122.345037,Seattle,USA,OpenStreetMap,474110657
Blue Dog Pond - Dog Park,47.5890037,-122.2984116,Seattle,USA,OpenStreetMap,481142081
