name,latitude,longitude,city,country,data_source,confidence_score,osm_id
Dog Park 1021573730,41.8607443,-87.6464275,Chicago,USA,OpenStreetMap (leisure=dog_park),0.85,1021573730
Dog Park 1022745084,41.8912689,-87.6166687,Chicago,USA,OpenStreetMap (leisure=dog_park),0.85,1022745084
Dog Park 1076970998,41.8885701,-87.646876,Chicago,USA,OpenStreetMap (leisure=dog_park),0.85,1076970998
Dog Park 1118495190,41.8696003,-87.6318169,Chicago,USA,OpenStreetMap (leisure=dog_park),0.85,1118495190
Dog Park 1155642951,41.8851579,-87.6625967,Chicago,USA,OpenStreetMap (leisure=dog_park),0.85,1155642951
Dog Park 1158236613,41.949557,-87.645341,Chicago,USA,OpenStreetMap (leisure=dog_park),0.85,1158236613
Dog Park 1200048584,41.8748594,-87.6742612,Chicago,USA,OpenStreetMap (leisure=dog_park),0.85,1200048584
Dog Park 1209461310,41.8706081,-87.6322699,Chicago,USA,OpenStreetMap (leisure=dog_park),0.85,1209461310
Prarie District Dog Park,41.8545972,-87.620083,Chicago,USA,OpenStreetMap (leisure=dog_park),0.85,1359414391
Dog Park 1476260578,41.8879248,-87.6547346,Chicago,USA,OpenStreetMap (leisure=dog_park),0.85,1476260578
I-5 Colonnade Off-Leash Area,47.6348256,-122.3237465,Seattle,USA,OpenStreetMap (leisure=dog_park),0.85,3468525549
Jose Rizal Dog Park,47.5931845,-122.3184367,Seattle,USA,OpenStreetMap (leisure=dog_park),0.85,26398063
Regrade Park,47.6143293,-122.3447531,Seattle,USA,OpenStreetMap (leisure=dog_park),0.85,37114650
Genesee Dog Park,47.5634041,-122.2766742,Seattle,USA,OpenStreetMap (leisure=dog_park),0.85,160980417
Woodland Park Off-Leash Dog Park,47.6700971,-122.3444423,Seattle,USA,OpenStreetMap (leisure=dog_park),0.85,220404009
Magnolia Manor Dog Park,47.6516008,-122.3924115,Seattle,USA,OpenStreetMap (leisure=dog_park),0.85,295044076
South Lake Union Dog Park,47.6194078,-122.3410929,Seattle,USA,OpenStreetMap (leisure=dog_park),0.85,362486894
Day 1 Dog Park,47.615732,-122.3398787,Seattle,USA,OpenStreetMap (leisure=dog_park),0.85,398955977
Dog Park 434710974,47.6143687,-122.3290269,Seattle,USA,OpenStreetMap (leisure=dog_park),0.85,434710974
Youngstown Flats Dog Run Feature,47.5674446,-122.3649711,Seattle,USA,OpenStreetMap (leisure=dog_park),0.85,473252197
Dog Park 474110657,47.6339595,-122.345037,Seattle,USA,OpenStreetMap (leisure=dog_park),0.85,474110657
Blue Dog Pond - Dog Park,47.5890037,-122.2984116,Seattle,USA,OpenStreetMap (leisure=dog_park),0.85,481142081
Kinnear Dog Park,47.626935,-122.3676761,Seattle,USA,OpenStreetMap (leisure=dog_park),0.85,633523734
Denny Substation Dog Park,47.6191148,-122.3326644,Seattle,USA,OpenStreetMap (leisure=dog_park),0.85,772562341
Dog Yard Bar,47.6639174,-122.3781636,Seattle,USA,OpenStreetMap (leisure=dog_park),0.85,909788856
Construction Site Dog Park,47.6082518,-122.3034362,Seattle,USA,OpenStreetMap (leisure=dog_park),0.85,1257534309
Growlerz Seattle,47.5540051,-122.2816213,Seattle,USA,OpenStreetMap (leisure=dog_park),0.85,1357066520
Charlesgate Dog Park,42.3490049,-71.0922549,Boston,USA,OpenStreetMap (leisure=dog_park),0.85,7768321149
Carleton Court Dog Park,42.3453214,-71.0787503,Boston,USA,OpenStreetMap (leisure=dog_park),0.85,7857858749
